Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R51,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61.214000,-143.003900,90.000000,top
R52,10K-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,75.842500,-104.902000,180.000000,top
R53,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,95.250000,-120.673500,90.000000,top
R54,0-DNP,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,64.643000,-102.108000,180.000000,top
R55,4K7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,77.978000,-108.204000,0.000000,top
R56,4K7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,77.978000,-106.426000,0.000000,top
R57,470K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113.474500,-128.460500,270.000000,top
R58,470K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,116.459000,-128.460500,270.000000,top
R59,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,87.733500,-101.981000,0.000000,top
R60,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,116.713000,-106.830500,90.000000,top
R61,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,118.618000,-107.950000,90.000000,top
R62,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120.904000,-106.830500,90.000000,top
R63,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,122.809000,-107.950000,90.000000,top
U1,MAX216CWN,SOIC-18W_7.5x11.6mm_P1.27mm,82.042000,-137.111000,0.000000,top
U2,L79L05_SOT89,SOT-89-3,55.778400,-142.113000,90.000000,top
U3,SN75LBC771DW,SOP-20_7.5x12.8mm_P1.27mm,83.375500,-118.046500,180.000000,top
U4,SN75LBC776DBR,SSOP-20_5.3x7.2mm_P0.65mm,83.375500,-122.618500,270.000000,top
U6,LM2776,SOT-23-6_Handsoldering,64.008000,-143.116300,90.000000,top
U8,SN74LVC2G14DBVR,SOT-23-6_Handsoldering,91.440000,-103.568500,270.000000,top
U9,MAX1721,SOT-23-6_Handsoldering,61.755200,-149.402800,0.000000,top
U10,LM2664,SOT-23-6_Handsoldering,67.411600,-149.402800,0.000000,top
